pass_count,av_tip,stddev_tip,f0_
0,14.415728433038261,4.046853840252039,4758
1,20.29071882524056,2.437941581564832,72740933
2,20.02072532068394,2.543902055976623,12969606
3,19.944856534780815,2.3927716066519276,3795259
4,19.95850967398957,2.499310697409359,1647122
5,19.703337320154198,2.383403141585762,5929047
6,19.726715759352878,2.4007107858684438,4005687
7,8.829357646252872,3.889803520561345,21
8,12.486361975533912,4.703421001531446,17
9,16.112699984202298,5.899975074723023,17
129,22.22222222222222,null,1
208,0.0,0.0,3
255,12.5,null,1
