nta_code,nta_name,Households,MedianIncome,MedInc_per_Household,pickups,dropoffs,total_trips,p_avg_tip,d_avg_tip,total_avg,diff_dropoff_pickup
BK37,Park Slope-Gowanus,1555,97791,62.89,429856,862843,1292699,3.15,4.49,3.82,1.34
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1317,91056,69.14,739770,913574,1653344,2.96,3.64,3.3,0.68
BK73,North Side-South Side,1576,61655,39.12,1303995,1453013,2757008,2.7,3.18,2.94,0.48
JFK,John F Kennedy International Airport,2565,42210,16.46,2739971,1319916,4059887,8.74,9.6,9.17,0.86
LGA,La Guardia Airport,2057,35436,17.23,3579964,2158717,5738681,6.44,6.64,6.54,0.2
MN09,Morningside Heights,4166,95335,22.88,1645047,1729447,3374494,2.53,2.5,2.515,-0.03
MN11,Central Harlem South,2675,104003,38.88,519622,843062,1362684,2.49,2.71,2.6,0.22
MN12,Upper West Side,4010,117382,29.27,7945570,7807801,15753371,2.19,2.21,2.2,0.02
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3547,71559,20.17,16132388,15037056,31169444,2.13,1.98,2.055,-0.15
MN14,Lincoln Square,934,116203,124.41,6541634,6008080,12549714,2.14,2.09,2.115,-0.05
MN15,Clinton,2621,102440,39.08,7316113,6518151,13834264,2.26,2.19,2.225,-0.07
MN17,Midtown-Midtown South,3622,99137,27.37,27916471,27880696,55797167,2.34,2.23,2.285,-0.11
MN19,Turtle Bay-East Midtown,3720,97380,26.18,11534050,10636301,22170351,2.26,2.19,2.225,-0.07
MN20,Murray Hill-Kips Bay,3186,76035,23.87,7789229,7785102,15574331,2.1,2.01,2.055,-0.09
MN21,Gramercy,2629,114459,43.54,4556163,3859781,8415944,2.05,1.92,1.985,-0.13
MN22,East Village,1952,119053,60.99,5710915,4651637,10362552,2.2,2.03,2.115,-0.17
MN23,West Village,2864,130528,45.58,12230846,10415920,22646766,2.14,2,2.07,-0.14
MN24,SoHo-TriBeCa-Civic Center-Little Italy,2249,39492,17.56,8755393,7956249,16711642,2.35,2.26,2.305,-0.09
MN25,Battery Park City-Lower Manhattan,2026,42855,21.15,4401820,4843073,9244893,3,2.92,2.96,-0.08
MN27,Chinatown,4316,99770,23.12,3115596,2532834,5648430,2.37,2.25,2.31,-0.12
MN28,Lower East Side,4832,93142,19.28,963999,1544731,2508730,2.35,2.25,2.3,-0.1
MN31,Lenox Hill-Roosevelt Island,2058,44785,21.76,6754141,6571396,13325537,2.14,2.09,2.115,-0.05
MN32,Yorkville,2004,27872,13.91,4749723,4808100,9557823,2.26,2.24,2.25,-0.02
MN33,East Harlem South,2303,51296,22.27,1180468,1585133,2765601,2.25,2.18,2.215,-0.07
MN34,East Harlem North,2382,36001,15.11,562640,1051916,1614556,2.37,2.31,2.34,-0.06
MN40,Upper East Side-Carnegie Hill,0,0,0,11723369,11087504,22810873,2.02,1.92,1.97,-0.1
MN50,Stuyvesant Town-Cooper Village,850,49264,57.96,606352,700218,1306570,2.14,2.16,2.15,0.02
MN99,park-cemetery-etc-Manhattan,3325,56190,16.9,2337919,2344455,4682374,2.22,2.22,2.22,0
QN31,Hunters Point-Sunnyside-West Maspeth,802,70833,88.32,631927,985466,1617393,3.32,3.4,3.36,0.08
QN70,Astoria,1184,55237,46.65,416561,853675,1270236,2.91,3.54,3.225,0.63
